日期,国家,节日/活动名,节日热搜词,对应品类/款式热搜词,热度推荐,提前两个月标题加关键词
2026-07-28~07-29,秘鲁,秘鲁国庆大促销（Fiestas Patrias Sale）,Fiestas Patrias sale；秘鲁国庆,男装全品类促销；冬季外套清仓；保暖内衣折扣；男士靴子特卖；羊毛衫折扣；冬季配饰；国庆主题男装,4,
2026/7月中下旬,哥伦比亚/哥斯达黎加,返校季（Temporada escolar）,Temporada escolar；返校季；学校用品；开学季；校园风；大学生活,学生衬衫；校服；校园穿搭；校园风；连帽卫衣；休闲运动裤；棒球夹克；基础款T恤多件装,4,
2026-08-01,牙买加,解放日（Emancipation Day）,Emancipation Day；解放日；废除奴隶制；自由纪念；非洲文化；加勒比历史,牙买加主题男装；泛非配色T恤；雷鬼风格衬衫；宽松街头裤；文化印花Tee；红黑绿系穿搭,1,
2026-08-06,牙买加,独立日（Independence Day）,Independence Day；牙买加独立日；八月六日；国庆；绿黄黑；国旗色,牙买加独立日男装；绿黄黑配色T恤；国旗色polo；热带风格衬衫；街头风格卫衣；派对穿搭男装,2,
2026-08-06~08-13,牙买加,牙买加大嘉年華（Grand Gala Jamaica Festival）,Jamaica Festival；牙买加嘉年華；大狂欢节；音乐节；文化节；雷鬼；舞蹈,嘉年华风格男装；鲜艳印花衬衫；街头潮牌T恤；宽松短裤；雷鬼风格卫衣；派对穿搭；绿黄黑系运动套装,2,
2026-08-09,阿根廷,儿童节（Día del Niño）,Día del Niño（儿童节）；regalos para niños（儿童礼品）,,1,
2026-08-10,厄瓜多尔,厄瓜多尔独立日（Primer Grito de la Independencia）,Primer Grito de la Independencia；厄瓜多尔独立日；八月十日；独立先驱；历史纪念,厄瓜多尔主题T恤；基多城市印花；国旗色polo；冬季男装(高地)；保暖夹克；羊毛衫；男士围巾,1,
2026-08-15,危地马拉/哥斯达黎加/萨尔瓦多/洪都拉斯/巴拿马,圣母升天节（Día de la Asunción）,Día de la Asunción；圣母升天节；天主教节日；宗教游行；弥撒；圣母玛利亚,正装衬衫；深色休闲裤；教堂礼拜披肩；男士polo衫；保守风格男装；家庭聚会穿搭；深色系男装,2,
2026-08-16,多米尼加,复辟日（Día de la Restauración）,Día de la Restauración；复辟日；恢复独立；历史纪念；圣多明各；爱国主义,多米尼加主题男装；国旗色T恤；热带风格衬衫；休闲短裤；棒球风格Tee；红白蓝配色polo；派对穿搭,1,
2026-08-25,乌拉圭,独立日（Día de la Independencia）,Día de la Independencia；乌拉圭独立日；八月二十五日；国庆；蓝白配色；国旗色,乌拉圭主题男装；蓝白配色T恤；国旗色polo；冬季外套；保暖夹克；男士围巾；足球风格球衣,2,
2026-08-30,秘鲁,圣罗莎德利马日（Día de Santa Rosa de Lima）,Día de Santa Rosa；圣罗莎德利马；秘鲁守护圣人；宗教节日；朝圣；利马,正装衬衫；深色裤装；教堂穿搭；保守风格polo；冬季保暖男装；深色系穿搭,1,
2026-08-01~08-31,巴西,巴西冬季狂欢节（各州地方节庆）,Brazilian winter festivals；巴西冬季；地方文化庆典；民俗活动；冬季节日,巴西冬季男装；法兰绒衬衫；男士卫衣；冬季夹克；牛仔裤；冬靴；针织毛衣；男士围巾帽子套装,3,
2026年8月底,多米尼加,返校季（Temporada de Regreso a Clases）,Regreso a Clases；返校季；返校季折扣；校园套装,儿童基础款白T恤；白色POLO衫；校园慢跑裤；学生卫裤；纯棉运动短裤；耐磨牛仔裤；牛仔背带裤；棒球夹克；针织毛衣；连帽牛仔外套；防水夹克；防风衣；卫衣,4,
2026-09-02,美国,返校季（Back to School）,Back to School；返校季；学校用品；开学季；校园风；大学生活；入学一百天；学前班；一年级；二年级等,学生衬衫；校服；校园穿搭；男大学生穿搭；校园风男装；连帽卫衣；休闲运动裤；棒球夹克；基础款T恤多件装,4,
2026-09-06,巴西,独立日（Dia da Independência）,Dia da Independência；巴西独立日；九月七日；国庆；绿黄配色；国旗色；伊皮兰加呼声,巴西独立日男装；绿黄配色T恤；国旗色polo；足球风格球衣；男士短裤；运动套装；国庆主题卫衣；人字拖,4,
2026-09-07,巴西,独立日大促销（Promoção de Sete de Setembro）,Promoção de Sete de Setembro；巴西独立日；国庆；九月七日,男装全品类促销；足球风格球衣折扣；运动套装特卖；男士短裤清仓；人字拖折扣；国旗色男装；运动鞋促销,4,
2026-09-07,美国、加拿大,劳动节（Labor Day）,Labor Day；劳动节；九月第一个周一；劳动节；工人,男士夏季清仓；短袖衬衫；polo衫；男士短裤；秋装上新；轻薄夹克；长袖T恤；工装裤,5,
2026-09-10~09-18,智利,国庆大促销（Fiestas Patrias Sale）,Fiestas Patrias sale；智利国庆；国庆,男装全品类；春季男装上新；牛仔裤；polo衫特卖；休闲衬衫；烧烤主题围裙；男士靴子,3,
2026-09-15,哥斯达黎加,独立日（Dia de la Independencia）,Dia de la Independencia；哥斯达黎加独立日；九月十五日；中美洲独立；火炬传递；灯笼游行,哥斯达黎加主题男装；热带风格衬衫；休闲短裤；灯笼主题Tee；独立火炬印花,2,
2026-09-15,危地马拉,独立日（Dia de la Independencia）,Dia de la Independencia；危地马拉独立日；九月十五日；中美洲独立；独立火炬,危地马拉独立日男装；传统图案卫衣；休闲短裤；独立火炬主题Tee；民族风男装,2,
2026-09-15,洪都拉斯,独立日（Dia de la Independencia）,Dia de la Independencia；洪都拉斯独立日；九月十五日；中美洲独立；国庆,洪都拉斯主题男装；热带风格衬衫；休闲短裤；足球风格球衣；国庆穿搭,2,
2026-09-15,萨尔瓦多,独立日（Dia de la Independencia）,Dia de la Independencia；萨尔瓦多独立日；九月十五日；中美洲独立；国庆,萨尔瓦多主题男装；热带风格衬衫；休闲短裤；足球风格球衣；国庆穿搭,2,
2026-09-15~10-15,美国,美国拉美裔传统月（Hispanic Heritage Month）,Hispanic Heritage Month；拉美裔传统月；拉丁文化；西班牙语文化；拉美裔；文化庆祝,拉丁风格男装；西班牙语文化Tee；拉美主题印花衬衫；民族风穿搭,3,
2026-09-16,墨西哥,独立日（Dia de la Independencia）,Dia de la Independencia；墨西哥独立日；九月十六日；多洛雷斯呼声；国庆；绿白红；国旗色,墨西哥独立日男装；绿白红配色T恤；国旗色polo；足球风格球衣；仙人掌印花衬衫；宽边帽；节庆穿搭；龙舌兰主题Tee,4,
2026-09-18,智利,国庆日（Fiestas Patrias）- 第一天,Fiestas Patrias；智利国庆日；九月十八日；库埃卡舞；烤肉；风筝；蓝白红；国旗色,智利国庆男装；蓝白红配色T恤；国旗色polo；牛仔夹克；传统印花衬衫；烤肉围裙；保暖夹克；足球风格球衣,3,
2026-09-19,智利,陆军荣耀日（Dia de las Glorias del Ejército）,Dia de las Glorias del Ejército；陆军荣耀日；军队阅兵；国庆第二天；军事游行,军事风格男装；迷彩印花T恤；军绿色夹克；男士战术裤；军靴；仿军装外套；爱国主题穿搭,2,
2026-09-21,阿根廷,春天节（Dia de la Primavera）,Dia de la Primavera,,1,
2026-09-01~09-30,巴西,亚马逊民俗节（Boi-Bumbá季后季）,Boi-Bumbá；亚马逊民俗；巴西民俗；牛舞；民间艺术；地方节庆,巴西民俗风格男装；亚马逊图案Tee；热带印花衬衫；传统舞蹈服饰；节庆穿搭；彩色印花短裤；民族风男装,1,
2026-10-12,加拿大,感恩节（Thanksgiving）,Thanksgiving；加拿大感恩节；十月第二个周一；火鸡大餐；秋收感恩；家庭聚会,秋季休闲穿搭；针织毛衣；法兰绒衬衫；男士休闲裤；秋季夹克；家庭聚会穿搭；棕色系男装；格纹衬衫,3,
2026-10-12,西班牙各国,西语文化日（Hispanic Heritage / Columbus Day Sale）,Columbus Day sale；西语文化日；哥伦布日；秋季大促,男装秋季；拉丁风格男装；民族风衬衫特卖；户外夹克；牛仔裤；秋季卫衣；文化主题Tee,3,
2026-10-18,阿根廷,母亲节（Día de la Madre）,Día de la Madre（母亲节）；Regalo del Día de la Madre（母亲节礼物）,,4,
2026-10-28,危地马拉,革命日（Día de la Revolución）,Día de la Revolución；危地马拉革命日；十月二十八日；历史纪念；民主转型,危地马拉革命主题Tee；历史纪念男装；国旗色polo；休闲穿搭；民主主题印花；文化衫,1,
2026-10-31,美国/加拿大/墨西哥/巴西/阿根廷/中美洲,万圣节 / 万圣前夜（Halloween / Noche de Brujas）,Halloween；Noche de Brujas；万圣节；万圣前夜；南瓜灯；变装；trick or treat；鬼怪；派对,万圣节主题男装；变装男服穿搭；恐怖印花T恤；英雄主题Tee；骷髅主题卫衣；南瓜图案男装；万圣节派对穿搭；鬼脸印花衬衫,4,
2026-10-31,墨西哥,亡灵节前夕（Víspera de Día de Muertos / 准备期）,Día de los Muertos；亡灵节准备；祭坛；万寿菊；糖骷髅；亡灵面包；墨西哥传统,亡灵节主题男装；糖骷髅图案Tee；万寿菊印花衬衫；糖骷髅图案卫衣；墨西哥传统男装；亡灵节派对穿搭；彩色骷髅印花,3,
2026-10-18~10-25,巴西,里约图书展（Bienal do Livro Rio）,Bienal do Livro；里约书展；图书博览会；文字；阅读,文艺风格男装；书卷气穿搭；格子衬衣；复古眼镜框；牛津纺衬衫；卡其裤；学院风男装；复古印花Tee,1,
2026-11-02,墨西哥/中美洲/南美各国,亡灵节（Día de los Muertos）,Día de los Muertos；亡灵节；祭坛；万寿菊；糖骷髅；亡灵面包；卡特里娜,亡灵节主题男装；糖骷髅图案Tee；糖骷髅印花衬衫；万寿菊图案卫衣；墨西哥传统男装；亡灵节派对穿搭；彩色骷髅外套,4,
2026-11-02,墨西哥,亡灵节大促（Día de los Muertos Sale）,Día de los Muertos sale；亡灵节；糖骷髅主题；墨西哥传统服饰,亡灵节主题男装；糖骷髅印花T恤；墨西哥传统男装特卖；派对穿搭；彩色印花衬衫；亡灵节配饰,3,
2026-11/3&2026/11/28,巴拿马,独立日（Día de la Separación de Colombia）,Día de la Separación；巴拿马独立日；国庆,巴拿马独立日男装；红蓝白配色T恤；国旗色polo；巴拿马帽；热带风格衬衫；休闲短裤；国庆派对穿搭,2,
2026-11-04,巴拿马,国旗日（Día de la Bandera）,Día de la Bandera；巴拿马国旗日；升旗仪式；国旗纪念；爱国主义,巴拿马国旗主题男装；红蓝白配色Tee；国旗印花polo；爱国主题卫衣；国旗色围巾；休闲穿搭,1,
2026-11-11,美国,退伍军人节 / 阵亡将士纪念日（Veterans Day / Remembrance Day）,Veterans Day；Remembrance Day；退伍军人节；阵亡将士纪念日；十一月十一日；罂粟花；军人致敬,军事风格男装；迷彩印花T恤；军绿色夹克；男士战术裤；仿军装外套；爱国主题穿搭；纪念主题Tee,3,
2026-11-15,巴西,共和国成立日（Proclamação da República）,Proclamação da República；巴西共和国日；十一月十五日；帝制结束；共和国；历史纪念,巴西共和国日男装；绿黄配色T恤；国旗色polo；正装衬衫；足球风格球衣；休闲穿搭；历史纪念主题Tee,2,
2026-11-19,巴西,国旗日（Dia da Bandeira）,Dia da Bandeira；巴西国旗日；十一月十九日；国旗纪念；共和国成立,巴西国旗主题男装；绿黄配色Tee；国旗印花polo；爱国主题卫衣；足球风格球衣；国旗色运动套装,2,
2026-11-20,巴西,黑人意识日（Dia da Consciência Negra）,Dia da Consciência Negra；黑人意识日；非洲文化；反种族主义；巴西黑人历史,非洲风格男装；非洲印花Tee；泛非色配色穿搭；文化主题卫衣；黑人文化衬衫；街头潮牌男装；文化自豪主题Tee,2,
2026-11-26,美国,感恩节（Thanksgiving）,Thanksgiving；感恩节；火鸡；感恩节大餐；家庭团聚；秋收；感恩节游行；橄榄球,感恩节男装；秋季休闲穿搭；针织毛衣；法兰绒格子衬衫；男士休闲裤；感恩节主题Tee；家庭聚会穿搭；棕色系男装；宽松舒适裤装,4,
2026-11-27,美国/加拿大/墨西哥/巴西/中美洲/南美各国,黑色星期五（Black Friday）,Black Friday；黑色星期五；促销；黑色,全品类大促,5,
2026-11-30,美国/加拿大/墨西哥/巴西/中美洲/南美各国,网络星期一（Cyber Monday）,Cyber Monday；网络星期一,全品类大促,5,
2026-12-07,哥伦比亚,小蜡烛日（Día de las Velitas）,Día de las Velitas；小蜡烛日；蜡烛；哥伦比亚圣诞节开始；灯光装饰；宗教传统,哥伦比亚圣诞季男装；节日主题Tee；蜡烛图案衬衫；红绿配色男装；圣诞印花卫衣；节庆派对穿搭；冬季休闲装,2,
2026-12-12,墨西哥,瓜达卢佩圣母日（Día de la Virgen de Guadalupe）,Día de la Virgen de Guadalupe；瓜达卢佩圣母；墨西哥守护圣母；朝圣；宗教游行,瓜达卢佩圣母主题Tee；宗教图案男装；墨西哥天主教文化衫；朝圣穿搭；保守风格男装；圣母图案卫衣；冬季保暖男装,2,
2026-12-24,全部18国,平安夜（Christmas Eve / Nochebuena）,Christmas Eve；Nochebuena；平安夜；圣诞前夜；平安夜晚餐；家庭聚会；圣诞准备,圣诞主题男装；圣诞印花毛衣；红绿配色Tee；圣诞老人图案卫衣；节日正装衬衫；男士冬季外套；圣诞派对穿搭；驯鹿印花Tee；雪花图案毛衣,4,
2026-12-25,全部18国,圣诞节（Christmas / Navidad / Natal）,Christmas；Navidad；Natal；圣诞节；耶稣诞生；圣诞树；圣诞礼物；圣诞大餐；驯鹿；圣诞袜,圣诞主题男装；圣诞印花毛衣；红绿配色Tee；圣诞老人图案卫衣；节日正装衬衫；男士冬季外套；圣诞派对穿搭；驯鹿印花Tee；雪花图案毛衣,5,
2026-12-25~01-05,巴西,巴西夏季节日期（Festa de Verão）,Festa de Verão；巴西夏季；海滩假期；夏季狂欢；音乐节；派对,巴西夏季男装；沙滩裤；人字拖；无袖背心；印花Tee；轻薄短裤；防晒衫；斜肩背心,4,
2026-12-26,加拿大,节礼日（Boxing Day）,Boxing Day；节礼日；十二月二十六日,男装节礼日大促；冬季外套清仓；男士毛衣折扣；正装衬衫特卖；男士靴子清仓；西装套装折扣；手表特卖；冬季配饰,5,
2026-12-31,全部18国,跨年夜（New Year's Eve / Nochevieja / Réveillon）,New Year's Eve；Nochevieja；Réveillon；跨年夜；新年前夜；跨年倒计时；烟花；跨年派对,跨年派对男装；亮片衬衫；男士西装外套；跨年派对穿搭；黑色系正装；闪光主题Tee；男士休闲西装；跨年倒计时主题男装；香槟色系穿搭,5,
2026-12-13,巴西,圣卢西亚日 / 圣诞节庆开始,Santa Lucia；圣卢西亚；巴西圣诞准备；宗教传统；圣诞季开始,圣诞季男装；节日主题Tee；圣诞印花衬衫；冬季休闲男装；节庆穿搭；红绿配色polo,1,
2027-01-01,全部18国,新年（New Year's Day / Año Nuevo）,New Year's Day；Año Nuevo；新年；元旦；新年第一天；新年愿望,新年男装；新年新穿搭；运动装备；跑步鞋；运动套装；男士健身服；新年主题Tee；红色系男装；基础款多件装,4,
2027-01-01,巴西,新年（海岸狂欢 Réveillon / Copacabana）,Réveillon；巴西新年；科帕卡巴纳海滩；白色服装；跨年烟花；海滩派对,巴西冬季男装；白色系男装(传统)；沙滩裤；人字拖；印花背心；太阳镜；沙滩派对穿搭；白色亚麻衬衫；轻薄短裤,3,
2027-01-01,阿根廷,新年（Año Nuevo）,Año Nuevo,Ropa de Año Nuevo（新年服装）；三王节男装；节日主题Tee；国王蛋糕主题衬衫；男童装(礼物季)；家庭聚会男装；traje / Vestido de noche（装扮服/礼服裙）,3,
2027-01-06,墨西哥/阿根廷/中美洲/南美各国,三王节 / 主显节（Día de Reyes / Epifanía）,Día de Reyes；Epifanía；三王节；主显节；东方三博士；三王礼物；国王蛋糕；Rosca de Reyes；regalos para niños（儿童礼品）,节庆主题男装；传统图案Tee；国王蛋糕主题衬衫；儿童礼品男装；家庭聚会穿搭；正装衬衫,3,
2027-01-09,牙买加,马斯假面舞节（Accompong Maroon Festival）,Accompong Maroon Festival；马隆人；非洲遗产；文化节日；历史纪念,牙买加文化主题男装；马隆人历史Tee；非洲风格衬衫；宽松街头装；文化印花卫衣；民族风穿搭,1,
2027-01-15~01-31,巴西,萨尔瓦多夏季节庆（Verão Salvador）,Verão Salvador；萨尔瓦多夏季；巴西夏季音乐节；海滩派对,巴西夏季男装；沙滩裤；印花背心；人字拖；太阳镜；沙滩派对；轻薄T恤；巴伊亚风格男装；斜肩；竹帽,2,
2027年1月中-2月中,危地马拉,返校季（Temporada de Regreso a Clases）,Regreso a Clases；返校季；返校季折扣；校园套装,儿童基础款白T恤；白色POLO衫；校园慢跑裤；学生卫裤；纯棉运动短裤；耐磨牛仔裤；牛仔背带裤；棒球夹克；针织毛衣；连帽牛仔外套；防水夹克；防风衣；卫衣,4,
2027-01-18,美国,马丁路德金日（Martin Luther King Jr. Day）,MLK Day；马丁路德金日；一月第三个周一；民权运动；公民权利；志愿服务,民权图案Tee；平等主题卫衣；非裔文化衬衫；男士冬季促销；冬季清仓；折扣；长周末促销男装,3,
2027-01-20,乌拉圭,夏季节庆开始（Temporada de Verano）,Temporada de Verano；阿根廷夏季；海滩度假；夏季节庆；乌拉圭埃斯特角城,夏季男装；沙滩裤；印花Tee；太阳镜；轻薄短裤；巴西夏季；休闲短裤,3,
2027-01-01~02-28,巴西,巴西夏季旅游季（Temporada de Verão）,Temporada de Verão；巴西夏季旅游；海滩度假；旅游旺季,巴西夏季男装；沙滩裤；印花背心；人字拖；太阳镜；沙滩派对；防晒衣；轻薄T恤；沙滩凉鞋；草帽,3,
2027-02-01~02-28,美国,黑人历史月（Black History Month）,Black History Month；黑人历史月；非裔美国人；民权；文化庆祝；非洲遗产,黑人文化主题男装；非洲印花Tee；民权图案衬衫；非裔文化卫衣；街头潮牌男装；文化自豪主题Tee；红黑绿色系穿搭,2,
2027-02-02,墨西哥/巴西/中美洲/南美各国,圣烛节 / 圣母净化节（Día de la Candelaria）,Día de la Candelaria；圣烛节；圣母净化；蜡烛；宗教游行；塔玛利,正装衬衫；深色休闲裤；教堂穿搭；保守风格polo；宗教主题Tee；冬季男装(南半球夏季),2,
2027-02-05,墨西哥,宪法日（Día de la Constitución）,Día de la Constitución；墨西哥宪法日；二月五日；1917年宪法；公共假日,墨西哥宪法日主题Tee；爱国男装；国旗色polo；休闲穿搭；历史纪念衬衫；长周末促销男装,2,
2027-02-05~02-10,巴西,里约狂欢节（Carnaval do Rio de Janeiro）,Carnaval do Rio；里约狂欢节；桑巴舞；桑巴游行；狂欢节；桑巴舞校；化装游行；狂欢派对,狂欢节男装；桑巴主题Tee；印花背心；花哨衬衫；装饰套装；比基尼式男装；狂欢节帽；亮片上衣；热裤；人字拖；太阳镜；狂欢节主题套装,5,
2027/2月初,厄瓜多尔,返校季（Temporada escolar）,Temporada escolar；返校季；学校用品；开学季；校园风；大学生活,学生衬衫；校服；校园穿搭；校园风；连帽卫衣；休闲运动裤；棒球夹克；基础款T恤多件装,4,
2027-02-08~02-13,南美洲/中美洲,狂欢节（Carnaval）,Carnaval；狂欢节；化装游行；街头派对；四旬斋前；彩带；彩带；面具；加勒比文化,狂欢节男装；化装派对Tee；彩色印花衬衫；节庆穿搭；派对男装；亮色系男装；节日主题套装；轻薄短裤；印花背心,4,
2027-02-08~02-17,乌拉圭,乌拉圭狂欢节（Carnaval de Uruguay）,Carnaval de Uruguay；乌拉圭狂欢节；murga；candombe；非洲裔文化；街头表演,乌拉圭狂欢节男装；murga主题Tee；candombe文化衬衫；化装派对穿搭；节庆男装；蒙得维的亚风格；夏季派对衬衫,2,
2027-02-10,智利,狂欢节 / 塔尔卡狂欢节（Carnaval de Talca）,Carnaval de Talca；智利狂欢节；塔尔卡；化装游行；街头文化；夏季庆典,智利狂欢节男装；化装派对Tee；彩色印花衬衫；夏季节庆穿搭；轻薄短裤；太阳镜；派对男装,1,
2027-02-14,全部18国,情人节（Valentine's Day）,Valentine's Day；情人节；情人节礼物；玫瑰；巧克力；浪漫晚餐；约会；情侣,情人节男装；情侣装Tee；男士约会套装；红色系衬衫；男士内衣；情侣polo；约会正装；浪漫主题Tee；情侣卫衣套装；情侣装,5,
2027-02-15~02-21,巴西,巴西利亚音乐节（Brasilia Music Festival）,Brasilia Music Festival；巴西利亚音乐节；巴西音乐；摇滚；流行音乐,音乐节男装；摇滚风Tee；休闲穿搭；牛仔外套；乐队印花衬衫；音乐节背包；帆布鞋；墨镜,1,
2027-02-22,美国,总统日（Presidents' Day）,Presidents' Day；总统日；二月第三个周一；华盛顿日；联邦假日,总统日男装大促；冬季外套清仓；男士西装折扣；正装衬衫特卖；男士靴子折扣；冬季毛衣促销；夹克清仓；手表钱包特卖；羊毛大衣折扣,5,
2027-02-27,多米尼加,独立日（Día de la Independencia）,Día de la Independencia；多米尼加独立日；二月二十七日；脱离海地；国庆,多米尼加独立日男装；红白蓝配色T恤；国旗色polo；棒球风格Tee；热带风格衬衫；国庆派对穿搭；足球风格球衣,3,
2027-2月中下旬,哥斯达黎加,返校季（Temporada escolar）,Temporada escolar；返校季；学校用品；开学季；校园风；大学生活,学生衬衫；校服；校园穿搭；校园风；连帽卫衣；休闲运动裤；棒球夹克；基础款T恤多件装,4,
2027年2月底,哥伦比亚,返校季（Temporada de Regreso a Clases）,Regreso a Clases；返校季；返校季折扣；校园套装,儿童基础款白T恤；白色POLO衫；校园慢跑裤；学生卫裤；纯棉运动短裤；耐磨牛仔裤；牛仔背带裤；棒球夹克；针织毛衣；连帽牛仔外套；防水夹克；防风衣；卫衣,4,
2027-03-01~03-07,美国,春假,Spring Break；家庭出行；野餐,浅色西装；浅色衬衫；浅色休闲裤,3,
2027年3月初,阿根廷/巴拿马,返校季（Vuelta a Clases / Inicio de Clases）,Vuelta a Clases / Inicio de Clases,Uniformes escolares / Ropa para la universidad / Ropa de gala（学生服装/学院风/典礼服装）；Regalos para alumnos（开学礼品）,4,
2027-03-01~03-07,美国,全国读书周 / 教育推广周（Read Across America）,Read Across America；读书周；教育推广；阅读；校园活动,学院风男装；牛津纺衬衫；卡其裤；学院风针织衫；复古眼镜框；书卷气穿搭；格纹衬衫,1,
2027-03-08,全部18国,国际妇女节（International Women's Day）,International Women's Day；国际妇女节；三月八日；女性权利；性别平等；紫色丝带,孕妇装；孕妇连衣裙；孕妇腰腹带；孕妇夏季服装；大码女士服装；女士高腰泳衣,2,
2027-03-14,巴西,巴西利亚建城日（Aniversário de Brasília）,Aniversário de Brasília；巴西利亚建城日；四月二十一日；首都纪念日,巴西利亚主题男装；城市纪念Tee；绿黄配色polo；休闲穿搭；首都纪念衬衫；城市风格男装,1,
2027-03-15,智利,春季购物节（Festival de Primavera）,Festival de Primavera；春季购物节；换季上新；春装,春季男装上新；轻薄夹克；男士polo衫；休闲衬衫；春季卫衣；卡其裤；帆布鞋；轻便外套；浅色系男装,3,
2027-03-17,美国,圣帕特里克节（St. Patrick's Day Sale）,St. Patrick's Day sale；圣帕特里克节；绿色主题,绿色系男装；三叶草Tee；绿色polo特卖；爱尔兰风格衬衫；派对穿搭；绿色帽子围巾；休闲短裤；女装圣帕特里克节装扮,3,
2027-03-19,洪都拉斯,圣何塞日/父亲节（Día de San José）,Día de San José；圣何塞日；洪都拉斯父亲节；木匠守护神；三月十九日,父亲节主题男装；父亲节礼物推荐；皮带钱包套装；男士polo衫；运动套装；男士手表；父子装Tee；男士背包；休闲运动裤,3,
2027-03-20,墨西哥,贝尼托华雷斯诞辰（Natalicio de Benito Juárez）,Natalicio de Benito Juárez；贝尼托华雷斯诞辰；三月二十一日；墨西哥前总统；历史纪念,墨西哥历史主题Tee；华雷斯纪念衫；爱国男装；国旗色polo；休闲穿搭；历史文化衫；民族风男装,1,
2027-03-22,巴西,国际Down综合征日/春季庆典,Down Syndrome Day；春季庆典；文化多样性；包容性,包容性主题Tee；春季男装；彩色印花衬衫；休闲穿搭；文化多样性卫衣；春季polo；浅色系男装,1,
2027-03-19~03-28,墨西哥,春季文化周（Semana Cultural de Primavera）,Semana Cultural；春季文化周；墨西哥文化；校园活动；文艺,春季男装；文化主题Tee；休闲衬衫；帆布鞋；轻便外套；浅色系polo；学生风格穿搭,1,
2027-03-26,美国/加拿大,耶稣受难日（Good Friday）,Good Friday；耶稣受难日,春季休闲夹克；纯色衬衫；休闲西裤；针织开衫；简约风T恤,4,
2027-03-28,全部18国（基督徒人口为主）,复活节（Easter / Pascua）,Easter；Pascua；复活节；耶稣复活；复活节彩蛋；复活节兔子；春天；复活节主日；教堂礼拜,复活节男装；正装衬衫；春季休闲穿搭；男士polo衫；淡色系男装；复活节主题Tee；教堂礼拜穿搭；春季针织衫；浅色休闲裤；婴儿女孩复活节装扮；儿童复活节礼物；女装复活节连衣裙；婴儿洗礼；婴儿洗礼礼物,3,
2027/3/29-4/5,阿根廷,圣周（Semana Santa）,Semana Santa,白色礼服裙；洗礼裙,4,
2027-04-14,巴西/墨西哥/中美洲/南美各国,泛美日（Día de las Américas）,Día de las Américas；泛美日；美洲团结；文化交流；四月十四日,泛美主题男装；美洲文化Tee；拉美风格衬衫；多国旗帜印花；文化融合穿搭；大陆风男装,1,
2027-04-19,巴西,印第安人日（Dia do Índio）,Dia do Índio；印第安人日；巴西原住民；原住民文化；四月十九日,原住民风格男装；印第安图案Tee；民族风衬衫；原住民文化卫衣；传统纺织男装；民族风穿搭；文化主题Tee,1,
2027-04-21,巴西,蒂拉登特斯日（Tiradentes）,Tiradentes；蒂拉登特斯；巴西独立烈士；四月二十一日；历史纪念,巴西历史主题Tee；蒂拉登特斯纪念衫；爱国男装；国旗色polo；历史文化衫；休闲穿搭,1,
